,Ticker,Currency,Open,Max,Min,Close,Volume_in_thousands,Date,Year,Liczba akcji,WK,Aktywa obrotowe,Zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Przychody ze sprzedaży na akcję,Zysk na akcję,Zysk operacyjny na akcję,Enterprise Value na akcję,EV / P,EV / EBIT,EV / EBITDA,C/ZO,C/WK,Cena / WK Grahama,C/P,C/Z,Close_pct,Open_pct,Max_pct,Min_pct
60,06MAGNA,PLN,0.33,0.35,0.33,0.33,21.6,09-01-2012,2012/Q1,8673714.0,2.46,93652.0,595.0,96754.0,8.49,0.09,0.06,8.99,1.06,154.12,12.26,5.500000000000001,0.13414634146341464,3.3898653298955305e-06,0.038869257950530034,3.666666666666667,-59.25925925925925,-59.25925925925925,-56.790123456790134,-58.75
61,06MAGNA,PLN,3.25,3.27,3.1,3.19,114.58,10-01-2022,2022/Q1,13921975.0,2.01,15195.0,230.0,5397.0,0.44,0.11,0.1,4.07,9.31,38.85,24.46,31.9,1.5870646766169156,0.0005669095432735028,7.25,29.0,866.6666666666666,884.8484848484848,834.2857142857143,839.3939393939395
62,06MAGNA,PLN,1.85,1.95,1.7,1.76,212.58,11-01-2021,2021/Q1,13921975.0,1.75,15904.0,227.0,5930.0,0.56,0.05,0.16,2.83,5.03,17.71,12.7,11.0,1.0057142857142858,0.0002858535000812084,3.142857142857143,35.199999999999996,-44.827586206896555,-43.07692307692308,-40.36697247706422,-45.16129032258065
63,06MAGNA,PLN,0.23,0.23,0.23,0.23,11.54,08-01-2013,2013/Q1,13921975.0,0.3,56183.0,632.0,2430.0,2.66,-0.35,-0.18,3.45,1.3,-19.01,12.27,-1.277777777777778,0.7666666666666667,7.511430437622469e-05,0.08646616541353383,-0.6571428571428573,-86.93181818181819,-87.56756756756758,-88.2051282051282,-86.47058823529412
64,06MAGNA,PLN,0.2,0.21,0.2,0.21,15.68,09-01-2014,2014/Q1,13921975.0,4.09,31218.0,2102.0,3140.0,0.03,-1.22,-0.46,2.17,65.83,-4.72,-6.59,-0.45652173913043476,0.05134474327628362,4.006104540251812e-05,7.0,-0.1721311475409836,-8.695652173913048,-13.043478260869568,-8.695652173913048,-13.043478260869568
65,06MAGNA,PLN,0.0,0.0,0.0,0.2,0.0,09-01-2020,2020/Q1,13921975.0,1.67,12476.0,2217.0,3785.0,0.35,0.29,0.32,0.16,0.45,0.48,0.42,0.625,0.11976047904191618,3.332222592469177e-05,0.5714285714285715,0.6896551724137931,-4.761904761904756,-100.0,-100.0,-100.0
66,06MAGNA,PLN,0.0,0.0,0.0,0.2,0.0,08-01-2019,2019/Q1,13921975.0,1.4,3659.0,2325.0,5205.0,0.45,-0.36,-0.08,0.31,0.7,-3.72,-26.33,-2.5,0.14285714285714288,2.656042496679947e-05,0.4444444444444445,-0.5555555555555556,0.0,,,
67,06MAGNA,PLN,2.16,2.2,2.15,2.2,1.27,09-01-2015,2015/Q1,13921975.0,3.61,15195.0,230.0,5397.0,0.35,-0.48,-0.33,1.92,5.49,-5.76,-6.95,-6.666666666666667,0.6094182825484765,0.00039097209880931225,6.2857142857142865,-4.583333333333334,1000.0,inf,inf,inf
68,06MAGNA,PLN,1.08,1.13,1.08,1.13,1137.66,11-01-2010,2010/Q1,8673714.0,5.18,23043.0,9299.0,57690.0,18.69,-0.64,-0.08,14.46,0.77,-173.0,10.82,-14.124999999999998,0.21814671814671813,1.6868441087342695e-05,0.0604601391118245,-1.7656249999999998,-48.63636363636365,-50.0,-48.63636363636365,-49.76744186046511
69,06MAGNA,PLN,0.45,0.45,0.44,0.44,5.82,09-01-2018,2018/Q1,13921975.0,1.84,8268.0,2022.0,6663.0,0.28,0.16,-0.09,0.25,0.9,-2.76,-9.09,-4.888888888888889,0.23913043478260868,5.066206102475533e-05,1.5714285714285714,2.75,-61.06194690265486,-58.333333333333336,-60.17699115044247,-59.25925925925925
70,06MAGNA,PLN,1.75,1.83,1.75,1.83,6.52,11-01-2016,2016/Q1,13921975.0,2.01,15376.0,2000.0,3400.0,0.44,0.11,0.1,4.07,9.31,38.85,24.46,18.3,0.91044776119403,0.0003388888888888889,4.159090909090909,16.636363636363637,315.90909090909093,288.88888888888886,306.66666666666663,297.7272727272727
71,06MAGNA,PLN,0.71,0.71,0.69,0.71,17.4,09-01-2017,2017/Q1,13921975.0,1.64,7597.0,2020.0,5762.0,0.04,-1.88,-0.28,0.62,17.37,-2.21,-2.64,-2.535714285714285,0.4329268292682927,9.123618607041891e-05,17.75,-0.3776595744680851,-61.20218579234973,-59.42857142857143,-61.20218579234973,-60.57142857142858
72,06MAGNA,PLN,0.81,0.88,0.81,0.87,685.29,11-01-2011,2011/Q1,8673714.0,2.48,53890.0,10116.0,66584.0,10.36,-2.87,-3.78,12.45,1.2,-3.29,-4.55,-0.23015873015873017,0.35080645161290325,1.134289439374185e-05,0.08397683397683398,-0.30313588850174217,22.535211267605646,14.084507042253524,23.943661971831,17.391304347826097
73,06MAGNA,PLN,0.34,0.35,0.33,0.33,42.76,10-01-2012,2012/Q1,8673714.0,2.46,93652.0,595.0,96754.0,8.49,0.09,0.06,8.99,1.06,154.12,12.26,5.500000000000001,0.13414634146341464,3.3898653298955305e-06,0.038869257950530034,3.666666666666667,-62.06896551724137,-58.0246913580247,-60.22727272727273,-59.25925925925925
